"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Leg Extension (Machine)",,"",0,"normal",32,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Leg Extension (Machine)",,"",1,"normal",39,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Leg Extension (Machine)",,"",2,"normal",39,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Leg Extension (Machine)",,"",3,"normal",45,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Leg Extension (Machine)",,"",4,"normal",52,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Sumo Squat (Kettlebell)",,"",0,"normal",10,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Sumo Squat (Kettlebell)",,"",1,"normal",10,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Sumo Squat (Kettlebell)",,"",2,"normal",10,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Sumo Squat (Kettlebell)",,"",3,"normal",10,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Sumo Squat (Kettlebell)",,"",4,"normal",10,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Leg Press Horizontal (Machine)",,"",0,"normal",59,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Leg Press Horizontal (Machine)",,"",1,"normal",66,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Leg Press Horizontal (Machine)",,"",2,"normal",73,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Leg Press Horizontal (Machine)",,"",3,"normal",79,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Squat (Dumbbell)",,"",0,"normal",7.5,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Squat (Dumbbell)",,"",1,"normal",7.5,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Squat (Dumbbell)",,"",2,"normal",7.5,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Squat (Dumbbell)",,"",3,"normal",7.5,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Lying Leg Curl (Machine)",,"",0,"normal",22,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Lying Leg Curl (Machine)",,"",1,"normal",27,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Lying Leg Curl (Machine)",,"",2,"normal",32,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Lying Leg Curl (Machine)",,"",3,"normal",39,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Lunge (Dumbbell)",,"",0,"normal",6,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Lunge (Dumbbell)",,"",1,"normal",6,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Lunge (Dumbbell)",,"",2,"normal",6,12,,,
"legday funday","Aug 28, 2026 at 4:19 PM","Aug 28, 2026 at 5:08 PM","","Lunge (Dumbbell)",,"",3,"normal",6,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",25,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",32,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",39,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Seated Cable Row - V Grip (Cable)",,"",3,"normal",45,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Seated Cable Row - V Grip (Cable)",,"",4,"normal",45,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Bicep Curl (Dumbbell)",,"",0,"normal",20,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Bicep Curl (Dumbbell)",,"",1,"normal",20,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Bicep Curl (Dumbbell)",,"",2,"normal",20,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Bicep Curl (Dumbbell)",,"",3,"normal",20,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Bicep Curl (Dumbbell)",,"",4,"normal",20,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Lat Pulldown - Close Grip (Cable)",,"",0,"normal",25,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Lat Pulldown - Close Grip (Cable)",,"",1,"normal",32,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Lat Pulldown - Close Grip (Cable)",,"",2,"normal",39,12,,,
"night sesh","Aug 27, 2026 at 6:36 PM","Aug 27, 2026 at 7:33 PM","","Lat Pulldown - Close Grip (Cable)",,"",3,"normal",45,12,,,
